@relation DFED_10_BOW_weka-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Class {0,1}
@attribute TextLength numeric
@attribute 2e numeric
@attribute bank numeric
@attribute br numeric
@attribute div numeric
@attribute million numeric
@attribute money numeric
@attribute mr numeric
@attribute nbsp numeric
@attribute transaction numeric
@attribute transfer numeric

@data
1,0.01944,0,0.083333,0,0,0,0,0,0,0,1
0,0.000941,0,0,0,0,0,0,0,0,0,0
1,0.029018,0.002454,0.125,0,0,0.028571,0.007722,0.008621,0,0,0
0,0.000464,0,0,0,0,0,0,0,0,0,0
1,0.027097,0,0,0,0,0.057143,0.015444,0,0,0,0
1,0.007425,0,0.083333,0,0,0.028571,0,0.017241,0,0,0
0,0.000245,0,0,0,0,0,0,0,0,0,0
1,0.002617,0,0,0,0,0,0,0,0,0,0
0,0.000155,0,0,0,0,0,0,0,0,0,0
1,0.039743,0.000818,0.041667,0,0,0,0.007722,0,0,0,0
0,0.000438,0,0,0,0,0,0,0,0,0,0
1,0.043456,0,0.041667,0,0,0.114286,0,0,0,0.0625,0
0,0.003816,0,0,0,0,0,0,0,0,0,0
1,0.005427,0,0,0,0,0,0,0.008621,0,0,0
0,0.000026,0,0,0,0,0,0,0,0,0,0
0,0.019208,0,0,0,0,0,0,0,0,0,0
0,0.000709,0,0,0,0,0,0,0,0,0,0
0,0.005956,0,0,0,0,0,0,0,0,0,0
0,0.025434,0,0,0,0,0,0.007722,0,0,0,0
1,0.014013,0,0.041667,0,0,0.057143,0,0.008621,0,0.0625,0
1,0.035463,0.000409,0,0,0,0.028571,0.015444,0,0,0,0
0,0.00049,0,0,0,0,0,0,0,0,0,0
0,0.002565,0,0,0,0,0,0,0,0,0,0
1,0.025834,0,0.291667,0,0,0,0.007722,0.025862,0,0.1875,2
0,0.001573,0,0,0,0,0,0,0,0,0,0
1,0.01721,0.000409,0,0,0,0.028571,0.007722,0,0,0,0
0,0.005801,0,0,0,0,0,0,0,0,0,0
0,0.000026,0,0,0,0,0,0,0,0,0,0
1,0.041922,0,0.125,0,0,0.028571,0.023166,0.008621,0,0.125,2
0,0.000529,0,0,0,0,0,0,0,0,0,0
0,0.001341,0,0,0,0,0,0,0,0,0,0
1,0.013781,0.001227,0,0,0,0,0.003861,0,0,0,0
0,0.002978,0,0,0,0,0,0,0,0,0,0
0,0.012466,0,0.041667,0,0,0,0.003861,0,0,0,0
1,0.029482,0,0.125,0,0,0.028571,0.015444,0.025862,0,0.0625,2
0,0.000761,0,0,0,0,0,0,0,0,0,0
1,0.039215,0,0.166667,0,0,0.028571,0.011583,0.034483,0,0.25,0
1,0.016771,0,0.166667,0,0,0.028571,0,0,0,0,0
1,0.042076,0,0.041667,0,0,0.028571,0.003861,0,0,0.125,0
0,0.000219,0,0,0,0,0,0,0,0,0,0
0,0.001856,0,0,0,0,0,0,0,0,0,0
1,0.014735,0,0,0,0,0,0.003861,0,0,0,0
0,0.000335,0,0,0,0,0,0,0,0,0,0
1,0.035566,0.006544,0.041667,0,0,0.028571,0.019305,0.017241,0,0.0625,3
0,0.000052,0,0,0,0,0,0,0,0,0,0
0,0.000761,0,0,0,0,0,0,0,0,0,0
0,0.000026,0,0,0,0,0,0,0,0,0,0
1,0.031931,0,0.125,0,0,0.057143,0.003861,0.008621,0,0.125,1
0,0.006794,0,0,0,0,0,0,0,0,0,0
0,0.000322,0,0,0,0,0,0,0,0,0,0
0,0.000271,0,0,0,0,0,0,0,0,0,0
1,0.033517,0.004499,0,0,0,0.028571,0,0,0,0.1875,0
1,0.032266,0,0.083333,0,0,0.028571,0,0,0,0,3
0,0.00263,0,0,0,0,0,0,0,0,0,0
0,0.000451,0,0,0,0,0,0,0,0,0,0
1,0.017661,0,0.041667,0.026471,0,0,0,0,0.120954,0.0625,1
0,0.000735,0,0,0,0,0,0,0,0,0,0
1,0.035915,0,0,0.05,0.14539,0.028571,0.007722,0.008621,0.015332,0,1
1,0.039975,0,0.041667,0,0,0.057143,0.003861,0,0,0.3125,3
0,0.00009,0,0,0,0,0,0,0,0,0,0
1,0.026826,0,0.041667,0,0,0.028571,0.003861,0,0,0,1
1,0.072757,0,0,0,0,0,0,0,0,0,0
0,0.000748,0,0,0,0,0,0,0,0,0,0
1,0.032176,0,0.125,0,0,0,0.027027,0.008621,0,0,2
1,0.03322,0.00818,0.083333,0,0,0.142857,0.019305,0.017241,0,0.1875,3
1,0.025847,0,0.041667,0,0,0,0.007722,0,0,0,0
1,0.038544,0,0.25,0,0,0.028571,0.003861,0,0,0.1875,1
1,0.018473,0.001636,0,0,0,0,0.011583,0,0,0.0625,1
0,0.00009,0,0,0,0,0,0,0,0,0,0
0,0.000335,0,0,0,0,0,0,0,0,0,0
0,0.001018,0,0,0,0,0,0,0,0,0,0
1,0.045905,0,0.166667,0,0,0,0.015444,0,0,0,2
0,0.008946,0,0,0,0,0,0,0,0,0,0
0,0.001882,0,0,0,0,0,0,0,0,0,0
0,0.000387,0,0,0,0,0,0,0,0,0,0
1,0.010248,0.001227,0,0,0,0,0,0.008621,0,0,0
0,0.000116,0,0,0,0,0,0,0,0,0,0
0,0.000026,0,0,0,0,0,0,0,0,0,0
1,0.043275,0.00818,0,0,0,0.028571,0.030888,0.025862,0,0.125,0
0,0.000219,0,0,0,0,0,0,0,0,0,0
1,0.019556,0,0.166667,0,0,0.028571,0.003861,0,0,0.0625,0
1,0.005492,0,0,0,0,0,0,0,0,0,0
0,0.000567,0,0,0,0,0,0,0,0,0,0
1,0.004976,0,0,0,0,0,0,0,0,0,0
1,0.011177,0,0,0,0,0,0,0,0,0,0
1,0.007013,0,0,0,0,0,0,0,0,0,0
0,0.007245,0,0,0,0,0,0,0,0,0,0
0,0.000902,0,0,0,0,0,0,0,0,0,0
1,0.019092,0,0.041667,0,0,0.028571,0.003861,0.008621,0,0,0
1,0.032885,0,0,0.005882,0.007092,0.028571,0.003861,0.008621,0,0.125,1
1,0.030629,0.005726,0,0,0,0.028571,0.007722,0,0,0.0625,0
1,0.047297,0,0,0,0,0,0.023166,0,0,0.0625,0
0,0.000026,0,0,0,0,0,0,0,0,0,0
1,0.035863,0,0.083333,0,0,0.057143,0.015444,0,0,0.25,0
0,0.002591,0,0,0,0,0,0,0,0,0,0
0,0.000258,0,0,0,0,0,0,0,0,0,0
0,0.000554,0,0,0,0,0,0,0,0,0,0
0,0.048458,0,0,0,0,0,0,0,0,0,0
0,0.001534,0,0,0,0,0,0,0,0,0,0
0,0.000026,0,0,0,0,0,0,0,0,0,0
0,0.024686,0,0,0,0,0,0,0,0,0,0
0,0.19704,0,0,0,0,0,0,0.008621,0,0,1
1,0.022791,0,0,0,0,0,0.003861,0,0,0.125,0
1,0.033104,0.004908,0,0,0,0.028571,0.003861,0,0,0,1
1,0.028502,0,0,0,0,0.057143,0.023166,0,0,0.0625,0
0,0.003713,0,0,0,0,0,0,0,0,0,0
1,0.017416,0,0.041667,0,0,0.028571,0.003861,0.008621,0,0.0625,2
0,0.000941,0,0,0,0,0,0,0,0,0,0
0,0.0033,0,0,0,0,0,0,0,0,0,0
0,0.001715,0,0,0,0,0,0,0,0,0,0
1,0.047233,0,0.083333,0,0,0.028571,0.027027,0.043103,0,0.1875,1
1,0.037049,0.007362,0.041667,0,0,0.028571,0.011583,0,0,0.0625,2
0,0.02216,0,0,0,0,0,0,0,0,0,0
1,0.011241,0,0,0,0,0,0.007722,0,0,0,0
1,0.061181,0,0.166667,0.152941,0,0.028571,0.042471,0.025862,0.006814,0.0625,3
0,0.000541,0,0,0,0,0,0,0,0,0,0
1,0.032937,0,0.208333,0,0,0.057143,0,0.017241,0,0.0625,3
0,0.000258,0,0,0,0,0,0,0,0,0,0
1,0.050237,0,0.291667,0.155882,0,0.085714,0.023166,0,0.017036,0.0625,2
0,0.00107,0,0,0,0,0,0,0,0,0,0
0,0.000219,0,0,0,0,0,0,0,0,0,0
1,0.021979,0,0,0,0,0.028571,0,0,0,0,0
1,0.035412,0.000818,0,0,0,0.028571,0.015444,0,0,0.0625,0
0,0.006794,0,0,0,0,0,0,0,0,0,0
0,0.001934,0,0,0,0,0,0,0,0,0,0
0,0.001431,0,0,0,0,0,0,0,0,0,0
1,0.004589,0,0,0,0,0,0,0,0,0,1
1,0.031171,0,0.083333,0,0,0,0.003861,0,0,0.3125,2
0,0.016049,0,0,0.002941,0,0,0,0,0,0,0
0,0.001315,0,0,0,0,0,0,0,0,0,0
0,0.001212,0,0,0,0,0,0,0,0,0,0
0,0.006265,0,0,0,0,0,0,0,0,0,0
1,0.00776,0,0,0,0,0,0,0,0,0.1875,0
1,0.038016,0,0.333333,0,0,0.028571,0.027027,0,0,0.1875,0
0,0.000026,0,0,0,0,0,0,0,0,0,0
0,0.0004,0,0,0,0,0,0,0,0,0,0
0,0.000026,0,0,0,0,0,0,0,0,0,0
0,0.001109,0,0,0,0,0,0,0,0,0,0
0,0.001109,0,0,0,0,0,0,0,0,0,0
1,0.041677,0,0.041667,0,0,0.028571,0.011583,0.008621,0,0.125,0
0,0.003261,0,0,0,0,0,0,0,0,0,0
0,0.001624,0,0,0,0,0,0,0,0,0,0
0,0.005079,0,0,0,0,0,0,0,0,0,0
1,0.033491,0,0,0,0,0.028571,0.023166,0.008621,0,0.125,0
1,0.031815,0,0.125,0,0,0.028571,0.015444,0,0,0.125,0
0,0.000116,0,0,0,0,0,0,0,0,0,0
0,0.001818,0,0,0,0,0,0,0,0,0,0
0,0.003622,0,0,0,0,0,0,0,0,0,0
1,0.03322,0.00818,0.083333,0,0,0.142857,0.019305,0.017241,0,0.1875,3
1,0.008534,0,0,0,0,0.028571,0,0.008621,0,0,0
1,0.020239,0,0,0.035294,0.078014,0.028571,0.003861,0.008621,0.018739,0,2
1,0.019388,0,0.083333,0,0,0,0,0,0,0.1875,0
1,0.002552,0,0,0,0,0,0,0,0,0,0
0,0.013819,0,0,0,0,0,0,0,0,0,0
1,0.047375,0.003681,0,0,0,0.028571,0,0,0,0.0625,0
1,0.05306,0,0.166667,0.026471,0.092199,0.028571,0.03861,0.025862,0.011925,0.0625,2
0,0.000142,0,0,0,0,0,0,0,0,0,0
0,0.00018,0,0,0,0,0,0,0,0,0,0
0,0.019839,0,0,0,0,0,0,0,0,0,0
0,0.003145,0,0,0,0,0,0,0,0,0,0
0,0.000013,0,0,0,0,0,0,0,0,0,0
0,0.003519,0,0,0,0,0,0,0,0,0,0
1,0.005131,0,0,0,0,0,0,0,0,0,0
0,0.253542,0,0,0,0,0,0,0,0,0,0
0,0.006626,0,0,0,0,0,0,0,0,0,0
1,0.032034,0,0,0,0,0.085714,0.019305,0.008621,0,0,2
0,0.000915,0,0,0,0,0,0,0,0,0,0
0,0.005169,0,0,0,0,0,0,0,0,0,0
0,0.000026,0,0,0,0,0,0,0,0,0,0
0,0.002552,0,0,0,0,0,0,0,0,0,0
0,0.056192,0,0.125,0,0,0,0,0,0,0,0
0,0.000026,0,0,0,0,0,0,0,0,0,0
1,0.003867,0,0,0,0,0,0,0,0,0,0
0,0.00477,0,0,0,0,0,0,0,0,0,0
1,0.027226,0,0.041667,0,0,0.057143,0.007722,0,0,0.125,0
1,0.031996,0,0.041667,0,0,0.028571,0.015444,0,0,0.3125,0
0,0.000361,0,0,0,0,0,0,0,0,0,0
0,0.000013,0,0,0,0,0,0,0,0,0,0
0,0.000773,0,0,0,0,0,0,0,0,0,0
1,0.05819,0,0,0,0,0,0,0,0,0,0
0,0.000413,0,0,0,0,0,0,0,0,0,0
1,0.043082,0,0.083333,0,0,0.028571,0,0,0,0.25,3
0,0.000013,0,0,0,0,0,0,0,0,0,0
0,0.002862,0,0,0,0,0,0,0,0,0,0
0,0.003004,0,0,0,0,0,0,0,0,0,0
0,0.000168,0,0,0,0,0,0,0,0,0,0
0,0.001547,0,0,0,0,0,0,0,0,0,0
1,0.00825,0,0,0,0,0,0,0,0,0,0
0,0.000142,0,0,0,0,0,0,0,0,0,0
1,0.008611,0,0,0,0,0,0,0,0,0,0
1,0.044951,0,0.083333,0,0,0.142857,0.023166,0.034483,0,0.0625,4
0,0.000296,0,0,0,0,0,0,0,0,0,0
0,0.004486,0,0,0,0,0,0,0,0,0,0
1,0.02836,0,0,0.061765,0,0,0.007722,0.008621,0.013629,0.0625,0
1,0.002668,0,0,0,0,0,0,0.008621,0,0,0
1,0.006201,0,0,0.002941,0.01773,0,0,0.008621,0,0,0
0,0.018486,0,0,0,0,0,0,0,0,0,0
0,0.002166,0,0,0,0,0,0,0,0,0,0
1,0.016114,0,0,0,0,0.028571,0,0,0,0,1
1,0.036765,0,0.041667,0,0,0.028571,0.019305,0.008621,0,0,0
1,0.055419,0,0,0,0,0,0,0,0,0,0
0,0.005298,0,0,0,0,0,0,0,0,0,0
0,0.000026,0,0,0,0,0,0,0,0,0,0
1,0.003584,0,0,0,0,0,0,0,0,0,0
0,0.004409,0,0,0,0,0,0,0,0,0,0
1,0.046421,0,0.333333,0,0,0,0.023166,0.025862,0,0.0625,1
1,0.042489,0,0.25,0,0,0.028571,0.011583,0.025862,0,0.3125,0
0,0.108414,0,0,0,0,0,0,0.017241,0,0,0
1,0.017145,0.000409,0,0,0,0,0.011583,0.017241,0,0.0625,0
0,0.005943,0,0,0,0,0,0,0,0,0,0
1,0.015044,0.002863,0,0,0,0.028571,0.003861,0.008621,0,0,1
0,0.004099,0,0,0,0,0,0,0,0,0,0
0,0.066028,0,0,0,0,0.028571,0,0,0,0,0
0,0.003107,0,0,0,0,0,0,0,0,0,0
1,0.006188,0,0,0,0,0,0,0.008621,0,0,0
0,0.000606,0,0,0,0,0,0,0,0,0,0
1,0.0136,0,0,0,0,0,0,0,0,0,0
1,0.041922,0,0.125,0,0,0.028571,0.023166,0.008621,0,0.125,2
0,0.001831,0,0,0,0,0,0,0,0,0,0
1,0.027561,0,0.041667,0,0,0.028571,0.011583,0,0,0.125,1
1,0.070385,0,0.333333,0.002941,0.198582,0.028571,0.003861,0.025862,0.040886,0.375,3
0,0.00165,0,0,0,0,0,0,0,0,0,0
1,0.028515,0,0.041667,0,0,0.028571,0.007722,0,0,0,0
1,0.045364,0,0.333333,0,0,0.057143,0.019305,0,0,0.1875,2
1,0.029108,0,0,0,0,0,0,0,0,0,5
0,0.000026,0,0,0,0,0,0,0,0,0,0
0,0.000077,0,0,0,0,0,0,0,0,0,0
1,0.042811,0,0.041667,0,0,0.028571,0.007722,0.008621,0,0.125,0
0,0.000013,0,0,0,0,0,0,0,0,0,0
0,0.00049,0,0,0,0,0,0,0,0,0,0
0,0.000425,0,0,0,0,0,0,0,0,0,0
0,0.000232,0,0,0,0,0,0,0,0,0,0
0,0.008637,0,0,0,0,0,0,0,0,0,0
1,0.016758,0,0,0,0,0,0,0,0,0,0
1,0.037732,0.004908,0,0,0,0.028571,0.023166,0,0,0,3
0,0.000387,0,0,0,0,0,0,0,0,0,0
0,0.001818,0,0,0,0,0,0,0,0,0,0
1,0.004628,0,0,0,0,0,0,0,0,0,0
0,0.000554,0,0,0,0,0,0,0,0,0,0
0,0.00058,0,0,0,0,0,0,0,0,0,0
0,0.000967,0,0,0,0,0,0,0,0,0,0
0,0.000645,0,0,0,0,0,0,0,0,0,0
0,0.00428,0,0,0,0,0,0,0,0,0,0
1,0.043662,0,0.041667,0,0,0.028571,0,0.025862,0,0.0625,2
1,0.013536,0,0,0,0,0.028571,0.011583,0,0,0,0
0,0.000039,0,0,0,0,0,0,0,0,0,0
0,0.001663,0,0,0,0,0,0,0,0,0,0
0,0.127931,0,0.041667,0,0,0,0,0,0,0,0
1,0.000915,0,0,0,0,0,0,0,0,0,0
0,0.000232,0,0,0,0,0,0,0,0,0,0
0,0.000258,0,0,0,0,0,0,0,0,0,0
0,0.007735,0,0,0,0,0,0,0,0,0,0
1,0.007657,0,0,0,0,0,0.003861,0,0,0.0625,1
1,0.025679,0,0.125,0.05,0.007092,0,0,0.008621,0.013629,0.25,0
1,0.01806,0,0,0,0,0,0.023166,0.017241,0,0.0625,0
0,0.001238,0,0,0,0,0,0,0,0,0,0
0,0.001263,0,0,0,0,0,0,0,0,0,0
0,0.000168,0,0,0,0,0,0,0,0,0,0
0,0.000116,0,0,0,0,0,0,0,0,0,0
0,0.00379,0,0,0,0,0,0,0,0,0,0
1,0.034896,0,0.083333,0,0,0.028571,0.023166,0.025862,0,0.0625,3
0,0.006368,0,0,0,0,0,0,0,0,0,0
1,0.01458,0,0,0,0,0,0,0,0,0.0625,0
1,0.039692,0,0.125,0,0,0,0.015444,0.008621,0,0,0
1,0.016475,0,0,0,0,0.028571,0.003861,0.008621,0,0,2
1,0.023604,0,0.041667,0,0,0.028571,0.003861,0,0,0.125,1
0,0.000026,0,0,0,0,0,0,0,0,0,0
0,0.000503,0,0,0,0,0,0,0,0,0,0
1,0.046343,0,0,0,0,0,0,0,0,0,0
1,0.033749,0,0,0,0,0,0.003861,0.025862,0,0,0
1,0.024325,0,0.041667,0,0,0.028571,0.003861,0,0,0.25,1
0,0.000683,0,0,0,0,0,0,0,0,0,0
0,0.001083,0,0,0,0,0,0,0,0,0,0
0,0.000825,0,0,0,0,0,0,0,0,0,0
