Class,TextLength,2e,account,bank,br,div,kin,mail,million,money,mr,nbsp,security,state,strong,sum,time,transaction,transfer,united,years
1,1913,35.421162,0,0,0,0,0,9.149989,10.734952,29.727064,5.347549,0,10.957344,0,0,0,0,11.957344,0,0,11.957344
1,3229,0,23.897858,32.07481,0,0,26.593904,0,10.734952,39.02758,12.674459,0,0,0,0,0,0,28.34062,21.084612,0,0
0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.082874,0,0,0,0
0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3333,37.273289,20.165749,19.469904,0,0,0,18.299978,10.734952,29.727064,0,0,10.957344,10.957344,0,11.957344,0,0,0,0,0
0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3914,0,0,0,0,0,0,0,0,0,0,0,10.957344,0,0,0,0,0,0,0,0
0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2756,36.969002,28.655106,19.469904,0,0,0,0,0,0,10.695099,0,0,0,0,11.957344,9.082874,35.020538,10.542306,0,0
0,9994,0,0,0,0,0,0,0,0,0,0,0,10.957344,0,0,0,21.527714,0,0,0,28.34062
1,3491,0,20.165749,9.734952,0,0,0,21.686787,27.749449,0,0,0,0,0,0,23.914688,9.082874,23.914688,0,0,0
0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7659,0,0,0,0,0,0,0,0,0,0,0,10.957344,10.957344,0,0,18.165749,0,0,0,11.957344
0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,340,0,0,0,0,0,0,0,0,0,0,0,0,10.957344,0,0,0,0,0,0,0
1,2290,0,26.063852,0,0,0,11.220378,9.149989,10.734952,12.542306,10.695099,0,10.957344,0,0,23.914688,0,28.34062,21.084612,0,0
1,2371,33.661133,0,0,0,0,0,23.65238,0,38.379726,5.347549,0,10.957344,0,0,0,9.082874,11.957344,0,0,0
0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1610,0,0,0,0,0,0,0,0,0,0,0,0,25.970476,0,0,0,0,0,0,0
0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,9.957344,0,0,0,0,0,0
1,2739,0,26.063852,28.511621,0,0,31.887844,0,10.734952,29.727064,5.347549,0,0,0,0,0,9.082874,0,0,11.220378,0
0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,77,0,0,0,0,0,0,0,0,0,0,0,0,10.957344,0,0,0,0,0,0,0
0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3485,0,10.082874,0,0,0,0,9.149989,10.734952,35.644707,0,0,10.957344,10.957344,0,30.909286,0,11.957344,0,0,11.957344
0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1439,0,20.165749,0,0,0,11.220378,9.149989,10.734952,25.084612,10.695099,0,0,0,0,0,0,23.914688,0,11.220378,11.957344
0,1534,0,0,0,0,0,0,0,0,0,0,0,10.957344,10.957344,0,0,0,0,0,0,0
1,16768,0,33.494583,33.8927,0,0,0,0,32.204857,47.75301,0,0,0,0,0,0,0,39.721436,31.626919,33.661133,0
0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3301,0,29.530613,29.204857,0,0,22.440756,9.149989,10.734952,35.644707,13.823215,0,0,10.957344,0,11.957344,0,23.914688,21.084612,22.440756,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2342,0,0,9.734952,0,0,0,18.299978,0,29.727064,10.695099,0,0,0,0,0,9.082874,0,0,0,0
0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3927,0,26.063852,9.734952,29.968794,21.878214,22.440756,28.471792,0,0,0,33.018501,25.970476,0,0,0,0,11.957344,10.542306,0,11.957344
0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1749,0,0,0,26.204857,15.87536,0,9.149989,10.734952,0,0,9.734952,0,0,0,11.957344,0,0,0,0,23.914688
0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10039,0,0,0,0,0,0,9.149989,0,0,0,0,21.914688,25.970476,0,0,18.165749,0,0,11.220378,30.909286
0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1508,0,26.063852,19.469904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.542306,0,0
0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2251,31.887844,23.897858,23.073233,0,0,22.440756,9.149989,10.734952,25.084612,5.347549,0,0,0,0,11.957344,0,0,0,0,11.957344
0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2102,0,0,0,0,0,0,21.686787,21.469904,32.421391,0,0,10.957344,0,0,11.957344,0,0,0,0,11.957344
1,576,0,10.082874,19.469904,0,0,0,0,10.734952,0,10.695099,0,0,0,0,11.957344,0,0,0,0,0
0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3083,22.440756,0,9.734952,0,0,26.593904,0,0,25.084612,0,0,25.970476,10.957344,0,11.957344,0,0,0,11.220378,0
0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3371,0,20.165749,9.734952,0,0,0,0,27.749449,0,0,0,0,0,0,23.914688,9.082874,11.957344,0,0,0
0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,421,0,0,0,0,0,0,0,0,0,5.347549,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1490,0,0,0,0,0,0,0,0,0,0,0,21.914688,0,0,0,9.082874,0,0,0,0
0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1973,0,0,0,0,0,0,0,0,25.084612,0,0,10.957344,21.914688,0,0,9.082874,0,0,0,0
1,1087,0,0,9.734952,0,0,0,0,21.469904,0,5.347549,0,10.957344,0,0,11.957344,0,11.957344,0,11.220378,0
1,2751,11.220378,0,0,0,0,0,9.149989,10.734952,32.421391,0,0,21.914688,0,0,0,0,0,0,0,11.957344
0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2004,0,23.897858,28.511621,0,0,0,0,0,25.084612,12.674459,0,0,0,0,0,0,28.34062,21.084612,11.220378,0
